"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Audio","CN","EN","Author"
"奢侈、宁静&享乐",1,"ThroughReading",,,0,0,"Art","ART",,"P","NA","桑贝"
"听朱光潜讲美学 ",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",
"世界美术全鉴——巴洛克与罗可可艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"p","NA",
"造型设计基础(毕留举)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中西形象设计史:职业形象设计师通用培训教程",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"服饰配色设计原理与实例精解-服装综合设计原 理与实例精解丛书 ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"萨特论艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中国少数民族服饰(图文并茂） ",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"家庭园艺DIY系列——家庭种菜最健康",0.02,"PartialReading",,,0,0,"Art","ART",,"P","NA",
"艺术词典 (Art dictionary)",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"西部布堆画艺术（英汉）",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"中华风物系列丛书--中国亭子艺术",0,"HaveNotRead",,,0,0,"Art","ART",,"P","NA",
"维生素矿物质养生事典 ",0.2,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"激活——给你能量的果蔬汁",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"牛尔的爱美书：天然面膜DIY（美容教主《美丽俏佳人》美丽教练牛尔天然护肤秘笈全公开） ",1,"ReferenceBook",,,0,0,"Beauty&Health","BTH",,"P","NA",
"常春藤:人体大百科",0.01,"ReferenceBook",,,0,0,"Beauty&Health","MED",,"P","NA",
"香草美人物语",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA","Kim Morrison & Fleur Welligan "
"吃遍全球——旅行膳食营养指南",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",
"香水情氛----调出来的神秘",1,"ThroughReading",,,0,0,"Beauty&Health","BTH",,"P","NA",
"花袭人(食花·花疗宝典) ",0,"HaveNotRead",,,0,0,"Beauty&Health","BTH",,"P","NA",
"Steve Jobs ",0.01,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA","Walter Isaacson"
"真相与传奇-杜拉斯唯一的传记影集 ",0.5,"PartialReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",
"曾国藩传",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NA",
"曾国藩三部曲",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"E","NO",
"白宫首席金融智囊格林斯潘 (Alan Greenspan)",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",
"龙夫人：慈禧故事",1,"ThroughReading","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",
"约翰·亚当斯 ",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"NA","P",
"桥－奥巴马传记",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NO",
"华盛顿传",0,"HaveNotRead","Fact-knowledge-Biography",,0,0,"Biography","BGY",,"P","NA",
"Biochemistry",0.3,"PartialReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NA","Jeremy M. Berg"
"生命是什么",1,"ThroughReading","Meta-Knowledge",,0,0,"Biology","BIO",,"P","NO",
"互联网进化论",0.01,"RoughReading","Fastfood-knowledge",,0,0,"Business & Economics & Management","BEM",,"NO","P",
"策略思维",0.01,"PartialReading","Hard-knowledge","Critical Thinking-Decision",0,0,"Business & Economics & Management","BEM",,"P","P",
"产业链阴谋III ",0.1,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",
"创新者的窘境(The Innovator's Dilemma)",0.1,"PartialReading","Hard-knowledge","How to innovate?",0,0,"Business & Economics & Management","BEM",,"NA","P"," C M Christensen"
"品牌洗脑(Brand Washed)",1,"ThroughReading","Fastfood-knowledge","Negotiation or persuasion",0,0,"Business & Economics & Management","BEM",,"P","P","Martin Lindstrom"
"中国经济缺什么（陈志武、茅于轼、斯蒂格利茨等15位经济学家分析中国经济大趋势，解局中国怎么办，共谋拯救中国经济之良策。）d11",0.2,"PartialReading","Fastfood-knowledge","Chinese Economy ",0,0,"Business & Economics & Management","BEM",,"NA","P",
"长尾理论",0.5,"PartialReading","Hard-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,"p","NA",
"Free: How Today's Smartest Businesses Profit by Giving Something for Nothing ",0.5,"PartialReading","Hard-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,,"NO",
"场景革命",0.5,"PartialReading","Fastfood-knowledge","Marketing Management",0,0,"Business & Economics & Management","BEM",,,"NA","吴声"
"伯恩斯坦金融三部曲1：繁荣的代价",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"财富的秘密",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"商业的常识",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"2025年世界将发生什么",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"自动自发 （《致加西亚的信》作者巅峰之作） ",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"中国牛市",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"管理的实践",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA","德鲁克"
"罗伯特议事规则操作指南(美国民间流传近150年的会议组织指导手册)",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"夏娃革命（引爆女性市场的八条黄金法则） ",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"考验－－跨国公司败阵中国实录",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NA",
"赢",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","杰克·韦尔奇"
"Competing on Analytics: The New Science of Winning",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Thomas H"
"Consumer Behavior: Buying having and being",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Solomon Michael R"
"Issue Driven",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"Zero to One: Notes on Startups or How to Build the Future",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO","Peter Thiel"
"移动互联网时代",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"经济学原理(Principles of Economics)",1,"ThroughReading","Meta-Knowledge",,0,0,"Business & Economics & Management","BEM",,,"NO","Marshall"
"伯恩斯坦金融三部曲2：华尔街上的经济学家",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"伯恩斯坦金融三部曲3：金融简史",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO",
"互联网商规11条摩根士丹利所推崇的商业战略思想",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,,"NO ",
"在路上：CCTV《赢在中国》首赛季12强创业启示录（励志创造人生 创业改变命运）",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",
"刀口上的管理(全球顶尖企业如何利用冲突管理引领行业创新风潮） ",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA",
"巴菲特致股东的信：股份公司教程",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",
"把握公司财务报表",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"NO","P",
"经济学通识",0.2,"PartialReading",,,0,0,"Business & Economics & Management","BEM",,"P","NO","薛兆丰"
"集装箱改变世界(The Box)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","P","Marc Levinson"
"货币的祸害(Money Mischief)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA","Milton Friedman"
"微革命",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA","金错刀"
"看不见的心(The invisible heart)",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NA",
"重新定义公司—谷歌是如何运营的 (How Google Works)",0.15,"RoughReading","Fastfood-knowledge",,0,0,"Business & Economics & Management","BEM",,"NO","P","Eric Schmidt and Jonathan Rosenberg"
"Leadership Pipeline",1,"ThroughReading",,,0,0,"Business & Economics & Management","BEM",,"P","NO","Stephen Drotter & James Noel & Ram Charan"
"Blockbusters: Hit-making, Risk-taking, and the Big Business of Entertainment",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NO"," Anita Elberse"
"The Alliance: Managing Talent in the Networked Age",0,"HaveNotRead",,,0,0,"Business & Economics & Management","BEM",,"P","NO","Reid Hoffman"
"Text Analysis with R for Students of Literature ",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO"," Matthew Jockers"
"看穿一切数字的统计学",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO",
"Big Data ",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO",
"大数据的冲击",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO","野村合作所"
"Mining of Massive Datasets",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO",
"Mining the Social Web",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO"," Matthew A. Russell"
"Doing Data Science",0.05,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO"," Cathy O'Neil"
"Humanities Data in R",0.5,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO","Taylor Arnold"
"Political Analysis Using R",1,"ThroughReading",,,0,0,"Data Science","DAT",,"P","NO","James E. Monogan III"
"Practical Text Analytics: Interpreting Text and Unstructured Data for Business Intelligence",0.01,"PartialReading",,,0,0,"Data Science","DAT",,"P","NO","Steven Struhl"
"男人这东西",0.5,"PartialReading",,,0,0,"Gender","GND",,"P","NO","渡边淳一"
"完全出轨手册",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NA",
"享受单身",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NO",
"滚床单心理学",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NO",
"迎男而上",1,"ThroughReading",,,0,0,"Gender","GND",,"P","NA","燕公子"
"世界简史 ",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NA",
"传说时代 · 夏 · 商 · 西周",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NO",
"忽必烈大帝 ",0.01,"PartialReading",,,0,0,"History","HTY",,"P","NO",
"人类简史——从动物到上帝[Sapiens: A Brief History of Humankind]",0.02,"PartialReading",,,0,1,"History","HTY","Audio","P","NO","Yuval Noah Harari"
"美国人民 —— 创建一个国家和一种社会（上卷 1492-1877 年第六版）",0.05,"PartialReading",,,0,0,"History","HTY",,"P","NO",
"人类的故事 (the history of mankind)",0.1,"PartialReading",,,0,0,"History","HTY",,"P","NO","Hendrik Willem Van Loon"
"何苦生在帝王家（大清公主命运实录 )",0.1,"PartialReading",,,0,0,"History","HTY",,"P","NO",
"《大国崛起》系列丛书 —— 日本",0.2,"PartialReading",,,0,0,"History","HTY",,"P","NO",
" 第三帝国的兴亡 (The Rise and Fall of the Third Reich)",0.25,"PartialReading",,,0,0,"History","HTY",,"P","NO","William L.Shirer "
"上帝之鞭阿提拉 —— 挑战罗马帝国的匈人王",0.3,"PartialReading",,,0,0,"History","HTY",,"P","NO",
"百家讲坛 —— 说雍正",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",
"《大国崛起》系列丛书 ——美国",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"《大国崛起》系列丛书 —— 俄罗斯 ",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"Reading on road (American history)",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"历史的胭脂痕迹 : 触摸历史上命运多舛的红颜背后",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",
"历史深处的忧虑－近距离看美国之一",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"总统是靠不住的 - 近距离看美国之二",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"我也有一个梦想－近距离看美国之三",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"如彗星划过夜空 - 近距离看美国之四",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"《大国崛起》系列丛书 —— 德国",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"武则天正传",1,"ThroughReading",,,0,0,"History","HTY",,"P","P","林语堂"
"宗教简史 (A Brief History of Religion)",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"美国无法忘却的罪恶 —— 美利坚风雨二百年",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO",
"探索古文明系列 —— 木乃伊",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"木乃伊：法老时代的生与死",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA","覃东"
"秦风作品系列——秦风老照片馆",1,"ThroughReading",,,0,0,"History","HTY",,"P","NA",
"邓小平时代",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO ","傅高义"
"论中国(On China)",1,"ThroughReading",,,0,0,"History","HTY",,"P","NO","基辛格"
"《大国崛起》系列丛书 —— 法国",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"《大国崛起》系列丛书 —— 西班牙 / 葡萄牙",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"《大国崛起》系列丛书 —— 荷兰",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"亚洲简史 ",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"Universal history of world",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"彩色人文历史 —— 文学的历史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"传播学史：一种传记式的方法",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"中国美术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"西方美术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"美洲简史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"欧洲艺术史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"1949 伯力大审判 —— 侵华日军使用细菌武器案庭审实录",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"彩色人文历史 —— 演艺的历史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",
"影响人类历史的大审判",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",
"总统的力量 —— 从殖民地到超级大国",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",
"资治通鉴",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",
"20 世纪的精神教训",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"阿连德家族",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"茶叶之路    (The Tea Road China and Russia Meet Across the Steppe) ",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO","Martha Avery"
"百年文字狱",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NO",
"何兆武文集——历史与历史学",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA",
"琉璃宫史",0,"HaveNotRead",,,0,0,"History","HTY",,"P","P",
"春秋大义",0,"HaveNotRead",,,0,0,"History","HTY",,"P","P","熊毅"
"战争改变历史 (War Made New)",0,"HaveNotRead",,,0,0,"History","HTY",,"P","NA","Max Boot"
"机器学习",0.5,"PartialReading",,,0,0,"IT","IT",,"P","NA",
"Hadoop: The Definitive Guide ",0,"HaveNotRead",,,0,0,"IT","IT",,"P","NA","Tom White"
"云计算与分布式系统:从并行处理到物联网(英 文版)",0,"HaveNotRead",,,0,0,"IT","IT",,"P","NA",
"算法之道(第2版)",0,"HaveNotRead",,,0,0,"IT","IT",,"P","NA",
"计算机原理简明教程  ",0,"HaveNotRead",,,0,0,"IT","IT",,"E","NA",
"构建云应用:概念、模式和实践(详述如何打造性 能、可扩展性、可用性俱佳的云计算架构模式)(云计算技术系列丛书) ",0,"HaveNotRead",,,0,0,"IT","IT",,"P","NO",
"Learning Python",0,"HaveNotRead",,,0,0,"IT","IT",,"P","NA","Mark Lutz"
"中国法律法规中英对照系列4——中国公司企业法律法规（中英对照法规）",0.2,"PartialReading",,,0,0,"Law","LAW",,"P","NA",
"高等学校法学双语教材——国际法（英文版） ",0,"HaveNotRead",,,0,0,"Law","LAW",,"P","NA",
"高等学校双语教材－国际商法 第二版 （英文版） ",0,"HaveNotRead",,,0,0,"Law","LAW",,"p","NO",
"中国法律法规中英对照系列5——中国对外贸易与经济合作法律法规（中英对照法规）",0,"HaveNotRead",,,0,0,"Law","LAW",,"NA","P",
"Inside the Jury",0,"HaveNotRead",,,0,0,"Law","LAW",,"NA","P","Hastie Reid & Steven D. Penrod &  Nancy Pennington"
"现代家庭实用宝典——中草药大全",0.01,"ReferenceBook",,,0,0,"Medicine","MED",,"NA","P",
"鲁滨逊漂流记",1,"ThroughReading",,,0,0,"Novel","NVL",,"NA","P",
"海底两万里",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","P",
"倾城之恋",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","NO","张爱玲"
"半生缘",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","张爱玲"
"沉香屑 第一炉香",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","张爱玲"
"多少恨",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","张爱玲"
"金锁记",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","张爱玲"
"红玫瑰与白玫瑰",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","张爱玲"
"小艾",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","张爱玲"
"连环套",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","张爱玲"
"创世纪",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","张爱玲"
"浮花浪蕊",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","张爱玲"
"福尔摩斯探案集",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","P","柯南道尔"
"希区柯克集",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","希区柯克"
"欧亨利短篇小说集",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","欧亨利"
"茶花女",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","P","小仲马"
"傲慢与偏见(Pride and Prejudice)",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","P","Jane Austen"
"巴黎圣母院",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","P","雨果"
"钢铁是怎样炼成的",1,"ThroughReading",,,0,0,"Novel","NVL",,"NO","P","尼古拉.奥斯特洛夫斯基"
"童年",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","高尔基"
"在人间",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA","高尔基"
"我的大学",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NO","高尔基"
"老人与海(The Old Man and The Sea)",1,"ThroughReading",,,0,0,"Novel","NVL",,"P","NA"," Ernest Hemingway"
"三国演义",1,"ThroughReading",,,0,0,"Novel","NVL",,"E","NA",
"Complete Novels of Mark Twain",0.5,"PartialReading",,,0,0,"Novel","NVL",,"P","NA","Mark Twain"
"For Whom the Bell Tolls ",0,"HaveNotRead",,,0,0,"Novel","NVL",,"P","P"," Ernest Hemingway"
"In Cold Blood",0,"HaveNotRead",,,0,0,"Novel","NVL",,"P","NO","Truman Capote"
"安娜·卡列尼娜（中英对照缩写）",0.01,"PartialReading",,,0,0,"Novels and Plays","NVL",,"P","P",
"中国传奇",0.2,"PartialReading",,,0,0,"Novels and Plays","NVL",,"P","NO",
"孤独之酒",0.2,"PartialReading",,,0,0,"Novels and Plays","NVL",,"P","P",
"白夜",0.5,"PartialReading",,,0,0,"Novels and Plays","NVL",,"P","NO","陀思妥耶夫斯基"
"白痴",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","P","陀思妥耶夫斯基"
"Unbearable Lightness of Being",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","P"," Milan Kundera"
"One Hundred Years of Solitude-百年孤独",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA","Gabriel García Márquez"
"The Lover ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Marguerite Duras"
"La Musica",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Marguerite Duras"
"Eden Cinema",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Marguerite Duras"
"Savannah Bay",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Marguerite Duras"
"India Song",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Marguerite Duras"
"Laughable Loves",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","P","Milan Kundera"
"Ignorance ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Milan Kundera"
"Slowness",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Milan Kundera"
"Identity",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Milan Kundera"
"Immortality",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA","Milan Kundera"
"Jacques and his Master",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA","Milan Kundera"
"Arch of Triumph",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA",
"活着",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA","余华"
"最后的情人",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO",
"L'Assommoir",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Émile Zola"
"面孔之舞",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA",
"社交舞",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA",
"An Iceland Fisherman",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NA","Pierre Loti"
"Madame Chrysanthème",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","Pierre Loti"
"连环",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO","亦舒"
"The Confession of a Child of the Century",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","P","Alfredde Musset"
"Night",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"E","P",
"床上的爱丽斯-苏珊.桑塔格文选(八幕剧)",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"E","P",
"The Little Prince",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO",
"White Death",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO",
"Mark Twain: Pudd' nhead Wilson ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,"P","NO",
